section_id,day_of_the_week,start_time,end_time
001146,M,11:00am,11:50am
001146,W,11:00am,11:50am
001146,F,11:00am,11:50am
001147,T,9:30am,10:50am
001147,H,9:30am,10:50am
001151,M,12:00pm,12:50pm
001151,W,12:00pm,12:50pm
001151,F,12:00pm,12:50pm
001600,T,2:00pm,3:20pm
001600,H,2:00pm,3:20pm
000987,T,11:00am,12:20pm
000987,H,11:00am,12:20pm
000422,T,2:00pm,3:20pm
000422,H,2:00pm,3:20pm
000255,M,9:00am,10:50am
000255,W,9:00am,10:50am
000254,T,9:30am,11:20am
000254,H,9:30am,11:20am
001205,T,11:30am,1:20pm
001205,H,11:30am,1:20pm
002145,M,2:00pm,3:50pm
002145,W,2:00pm,3:50pm
000253,M,8:00am,9:50am
000253,W,8:00am,9:50am
001349,M,10:00am,11:50am
001349,W,10:00am,11:50am
000430,T,9:00am,10:50am
000430,H,9:00am,10:50am
001439,T,1:30pm,3:20pm
001439,H,1:30pm,3:20pm
000471,T,7:50am,9:20am
000471,H,7:50am,9:20am
000179,T,3:30pm,5:20pm
000179,H,3:30pm,5:20pm
000769,M,2:00pm,3:20pm
000769,W,2:00pm,3:20pm
000769,F,2:00pm,3:20pm
002293,M,12:00pm,12:50pm
002293,W,12:00pm,12:50pm
002293,F,12:00pm,12:50pm
002292,W,4:00pm,6:40pm
001348,T,11:00am,12:50pm
001348,H,11:00am,12:50pm
002154,M,9:00am,10:20am
002154,W,9:00am,10:20am
000180,T,11:00am,12:20pm
000180,H,11:00am,12:20pm
000443,T,12:30pm,1:50pm
000443,H,12:30pm,1:50pm
001148,T,3:30pm,4:50pm
001148,H,3:30pm,4:50pm
001347,T,8:00am,9:20am
001347,H,8:00am,9:20am
000770,M,11:00am,12:50pm
000770,W,11:00am,12:50pm
